               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.008268,            0.013158,           0.0033929,             0.99222,             0.99125,             0.99424,             0.94213,           0.0088373,            0.021657,           0.0025999,            0.001486,            0.001486,            0.001486
                  88,           0.0079564,            0.013525,           0.0041274,             0.99217,             0.99126,             0.99469,             0.94583,           0.0088344,             0.02151,           0.0031052,            0.001387,            0.001387,            0.001387
                  89,           0.0081863,            0.013254,           0.0037323,             0.99208,             0.99128,             0.99469,             0.94899,           0.0086497,             0.02101,           0.0031548,            0.001288,            0.001288,            0.001288
                  90,           0.0080517,            0.014161,           0.0041941,             0.99232,             0.99128,             0.99469,              0.9453,           0.0087268,            0.020803,           0.0028766,            0.001189,            0.001189,            0.001189
                  91,           0.0080871,            0.014381,           0.0037331,             0.99416,              0.9913,             0.99463,             0.94425,            0.008449,            0.020288,           0.0021467,             0.00109,             0.00109,             0.00109
                  92,           0.0078293,            0.013632,           0.0034309,             0.99468,             0.99134,             0.99465,             0.94392,           0.0085027,            0.021067,           0.0015424,            0.000991,            0.000991,            0.000991
                  93,           0.0077279,            0.013357,           0.0037792,             0.99461,             0.99136,             0.99465,             0.94565,           0.0083846,            0.020664,           0.0014567,            0.000892,            0.000892,            0.000892
                  94,           0.0076047,             0.01402,           0.0034687,             0.99439,             0.99132,             0.99468,             0.95015,           0.0083316,            0.020404,           0.0014843,            0.000793,            0.000793,            0.000793
                  95,           0.0077142,            0.013857,           0.0034838,             0.99362,             0.99132,              0.9944,              0.9486,           0.0083194,            0.020629,           0.0018654,            0.000694,            0.000694,            0.000694
                  96,           0.0077761,            0.013395,           0.0041927,             0.99373,              0.9913,              0.9942,             0.94777,           0.0082364,            0.020398,           0.0017976,            0.000595,            0.000595,            0.000595
                  97,           0.0078306,            0.012843,           0.0038239,               0.994,             0.99128,             0.99423,             0.95036,           0.0082733,            0.020741,           0.0015164,            0.000496,            0.000496,            0.000496
                  98,           0.0077963,            0.014486,           0.0038668,             0.99357,             0.99126,             0.99417,             0.94916,            0.008365,            0.020908,           0.0015894,            0.000397,            0.000397,            0.000397
                  99,           0.0077778,            0.013447,            0.003327,             0.99334,             0.99124,              0.9942,              0.9504,           0.0082855,            0.020803,           0.0020117,            0.000298,            0.000298,            0.000298
