epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,82614.4,0.35433,0.30779,0.87984,0.99655,0.98984,0.99464,0.93774,0.31636,0.15163,0.76558,0.0002575,0.0002575,0.0002575
152,83148,0.37083,0.31198,0.89353,0.99439,0.99192,0.99453,0.93706,0.32161,0.1523,0.76773,0.00025255,0.00025255,0.00025255
153,83681.7,0.35883,0.31211,0.87147,0.99557,0.98995,0.99471,0.93662,0.32566,0.1542,0.77103,0.0002476,0.0002476,0.0002476
154,84215.4,0.35559,0.30047,0.87666,0.99454,0.99277,0.9948,0.93913,0.3169,0.15226,0.76279,0.00024265,0.00024265,0.00024265
155,84749.2,0.36285,0.30903,0.87329,0.99434,0.99232,0.99462,0.93917,0.32115,0.14942,0.76639,0.0002377,0.0002377,0.0002377
156,85283.9,0.35676,0.3046,0.87555,0.99575,0.99281,0.99478,0.94103,0.31926,0.14825,0.76516,0.00023275,0.00023275,0.00023275
157,85819,0.36348,0.31626,0.88829,0.9955,0.99232,0.99476,0.93983,0.32222,0.14659,0.76804,0.0002278,0.0002278,0.0002278
158,86355.9,0.35545,0.31865,0.88132,0.99492,0.99269,0.99401,0.93954,0.31438,0.14735,0.7641,0.00022285,0.00022285,0.00022285
159,86893.2,0.36119,0.31293,0.87661,0.99104,0.9931,0.99451,0.93747,0.31797,0.14868,0.76441,0.0002179,0.0002179,0.0002179
160,87429.5,0.35447,0.3042,0.86835,0.99214,0.99134,0.99461,0.93957,0.3189,0.15192,0.76564,0.00021295,0.00021295,0.00021295
161,87966.4,0.35594,0.32014,0.87755,0.99206,0.99313,0.99476,0.93929,0.31669,0.14755,0.76453,0.000208,0.000208,0.000208
162,88502.6,0.35243,0.3052,0.8783,0.99205,0.99415,0.99415,0.9368,0.3198,0.14759,0.76773,0.00020305,0.00020305,0.00020305
163,89039.7,0.34889,0.30508,0.87506,0.99449,0.99368,0.994,0.93992,0.31342,0.14446,0.76234,0.0001981,0.0001981,0.0001981
